epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7223,0.5515,2.45749,1.04485,0.00458,1,0.86511,0.75815,0.43313,2.93568,0.73431,0.00046412,0.00046412,0.00046412
2,76.5266,0.64437,1.21358,1.04467,0.86547,0.89848,0.95585,0.84468,0.50142,1.76167,0.86925,0.000909418,0.000909418,0.000909418
3,123.692,0.65551,1.00567,1.04343,0.90295,0.84216,0.94587,0.82926,0.50028,1.45867,0.78448,0.00132328,0.00132328,0.00132328
4,172.486,0.63057,0.91961,1.01892,0.90709,0.86506,0.91999,0.82515,0.46262,1.16199,0.79151,0.00128753,0.00128753,0.00128753
5,217.347,0.58643,0.83137,1.00105,0.73123,0.77353,0.78609,0.68206,0.50228,1.82832,0.80864,0.00124037,0.00124037,0.00124037
6,277.044,0.55087,0.78986,0.99121,0.78769,0.78175,0.81944,0.69023,0.52385,1.38591,0.80248,0.00119322,0.00119322,0.00119322
7,321.794,0.54968,0.7074,0.99074,0.91108,0.91492,0.96609,0.86932,0.45653,1.04544,0.76493,0.00114606,0.00114606,0.00114606
8,362.539,0.50865,0.66232,0.97643,0.98676,0.96703,0.9918,0.93141,0.35759,0.66739,0.70803,0.0010989,0.0010989,0.0010989
9,401.181,0.50205,0.64287,0.97105,0.95705,0.99483,0.99278,0.94773,0.31805,0.59531,0.68502,0.00105174,0.00105174,0.00105174
10,445.603,0.47148,0.596,0.95833,0.98539,0.98023,0.99207,0.93914,0.34328,0.57822,0.70276,0.00100459,0.00100459,0.00100459
11,484.998,0.49074,0.57185,0.96868,0.98361,0.98766,0.99135,0.95505,0.30503,0.50346,0.68,0.00095743,0.00095743,0.00095743
12,529.125,0.45647,0.56157,0.9548,0.97097,0.96647,0.98878,0.95882,0.28968,0.49764,0.68126,0.000910273,0.000910273,0.000910273
13,575.577,0.45951,0.53553,0.95647,0.96172,0.98197,0.98841,0.94308,0.30894,0.48709,0.68753,0.000863116,0.000863116,0.000863116
14,614.78,0.45297,0.50162,0.96064,0.9884,0.98636,0.99313,0.96818,0.26758,0.42368,0.67161,0.000815959,0.000815959,0.000815959
15,657.109,0.44689,0.51234,0.95874,0.98422,0.97487,0.99302,0.96173,0.30344,0.44771,0.68867,0.000768802,0.000768802,0.000768802
16,711.115,0.43319,0.49517,0.94794,0.9672,0.96451,0.99127,0.96014,0.28304,0.47186,0.68068,0.000721645,0.000721645,0.000721645
17,755.613,0.39331,0.4577,0.93686,0.9714,0.99241,0.99321,0.9583,0.2597,0.41899,0.66579,0.000674488,0.000674488,0.000674488
18,829.294,0.37643,0.44753,0.92316,0.99319,0.78192,0.79511,0.77818,0.26419,0.36609,0.65916,0.000627331,0.000627331,0.000627331
19,889.844,0.38601,0.44875,0.93307,0.98177,0.97403,0.9936,0.9747,0.25668,0.35815,0.66655,0.000580174,0.000580174,0.000580174
20,950.764,0.38324,0.43748,0.9305,0.98972,0.97601,0.99375,0.97079,0.23538,0.33832,0.65439,0.000533017,0.000533017,0.000533017
21,1014.68,0.33775,0.44602,0.91676,0.9689,0.98197,0.99325,0.97471,0.2312,0.35861,0.65374,0.00048586,0.00048586,0.00048586
22,1071.44,0.32143,0.40133,0.90076,0.90077,0.96726,0.98573,0.96335,0.24989,0.50086,0.65752,0.000438703,0.000438703,0.000438703
23,1129.42,0.30788,0.38331,0.89805,0.98387,0.9849,0.99432,0.97842,0.22602,0.33414,0.64855,0.000391546,0.000391546,0.000391546
24,1203.44,0.31454,0.36661,0.90024,0.97801,0.91904,0.9217,0.90697,0.20766,0.29119,0.64428,0.000344389,0.000344389,0.000344389
25,1281.43,0.2923,0.34372,0.90067,0.97991,0.96028,0.96449,0.94867,0.20588,0.29357,0.64476,0.000297232,0.000297232,0.000297232
26,1342.28,0.29105,0.34041,0.8957,0.99261,0.98273,0.9946,0.98216,0.18312,0.27089,0.6375,0.000250075,0.000250075,0.000250075
27,1435.4,0.2865,0.3391,0.90357,0.99655,0.97913,0.98806,0.97869,0.18406,0.27356,0.63863,0.000202918,0.000202918,0.000202918
28,1538.12,0.24872,0.30955,0.87761,0.97582,0.97142,0.97442,0.96486,0.17266,0.26618,0.6335,0.000155761,0.000155761,0.000155761
29,1603.24,0.26417,0.31897,0.87669,0.99329,0.98241,0.99436,0.98816,0.17957,0.25882,0.63297,0.000108604,0.000108604,0.000108604
30,1690.34,0.23997,0.29982,0.87446,0.99097,0.98342,0.99439,0.98802,0.16793,0.25305,0.62927,6.1447e-05,6.1447e-05,6.1447e-05
